type,time,price,position,balance,rsi,pnl,win,win_streak,lose_streak,month
entry,2025-03-25 13:56:00,87638.0,short,9924.694563201261,100.0,-0.009975366268722086,False,0,1,2025-03
exit,2025-03-25 20:11:00,88514.49,short,10023.694437684933,,0.009975105415409358,True,1,0,2025-03
entry,2025-03-25 21:04:00,87998.13,short,9923.694437684933,100.0,-0.009976361572240466,False,0,1,2025-03
exit,2025-03-26 03:39:00,87107.8,short,10024.7061978212,,0.01017884627248078,True,1,0,2025-03
entry,2025-03-26 05:30:00,87293.49,short,9924.7061978212,100.0,-0.0099753546913659,False,0,1,2025-03
exit,2025-03-26 07:32:00,88249.99,short,10023.610468918621,,0.009965460853554875,True,1,0,2025-03
entry,2025-03-26 16:29:00,86955.76,short,9923.610468918621,100.0,-0.009976445145198132,False,0,1,2025-03
exit,2025-03-26 19:06:00,86055.78,short,10024.645454985099,,0.01018127287270354,True,1,0,2025-03
entry,2025-03-26 21:15:00,87225.64,short,9924.645454985099,100.0,-0.009975415135531907,False,0,1,2025-03
exit,2025-03-27 13:25:00,86200.03,short,10025.821267509948,,0.010194400695092698,True,1,0,2025-03
entry,2025-03-27 14:17:00,86528.69,short,9925.821267509948,98.12866823555942,-0.00997424523455881,False,0,1,2025-03
exit,2025-03-27 15:15:00,87412.01,short,10024.80042690783,,0.009971886127132734,True,1,0,2025-03
entry,2025-03-27 15:53:00,87064.77,short,9924.80042690783,99.85895130293427,-0.009975260927049256,False,0,1,2025-03
exit,2025-03-28 04:45:00,86189.52,short,10025.805712972446,,0.010177059660642973,True,1,0,2025-03
entry,2025-03-28 08:47:00,85344.84,short,9925.805712972446,99.27920676155239,-0.0099742607091029,False,0,1,2025-03
exit,2025-03-28 14:09:00,84423.73,short,10026.8849932195,,0.010183483655634262,True,1,0,2025-03
entry,2025-03-28 20:21:00,83971.7,short,9926.8849932195,100.0,-0.009973187093262115,False,0,1,2025-03
exit,2025-03-29 10:47:00,83100.01,short,10027.923069142698,,0.010178225696400256,True,1,0,2025-03
entry,2025-03-29 17:31:00,82396.6,short,9927.923069142698,98.39705008456568,-0.009972154683526968,False,0,1,2025-03
exit,2025-03-30 02:36:00,83251.02,short,10026.886108879775,,0.00996815134926532,True,1,0,2025-03
entry,2025-03-30 02:37:00,83266.0,short,9926.886108879775,100.0,-0.009973185983576771,False,0,1,2025-03
exit,2025-03-30 16:33:00,82418.0,short,10027.904531765467,,0.01017624477380985,True,1,0,2025-03
entry,2025-03-31 05:02:00,81990.56,short,9927.904531765467,99.21433060967944,-0.009972173117846261,False,0,1,2025-03
exit,2025-03-31 12:51:00,83018.24,short,10026.65111917748,,0.009946367543731238,True,1,0,2025-03
