type,time,price,position,balance
alignment_break,2024-12-22 00:16:00,97166.23,1.1030070582390626e+36,2.143587115702263e+41
entry,2024-12-22 00:39:00,97389.78,2.2010390779219985e+36,2.143587115702263e+41
alignment_break,2024-12-22 00:42:00,97339.98,2.2010390779219985e+36,4.286078113943721e+41
entry,2024-12-22 00:44:00,97347.65,4.4028572995277454e+36,4.286078113943721e+41
alignment_break,2024-12-22 00:50:00,97116.01,4.4028572995277454e+36,8.561957449238816e+41
entry,2024-12-22 01:11:00,97352.0,8.794844943338417e+36,8.561957449238816e+41
alignment_break,2024-12-22 01:18:00,97200.01,8.794844943338417e+36,1.711054761364825e+42
entry,2024-12-22 01:25:00,97348.0,1.7576681199046976e+37,1.711054761364825e+42
alignment_break,2024-12-22 01:30:00,97229.81,1.7576681199046976e+37,3.4200321347787345e+42
entry,2024-12-22 07:14:00,96740.01,3.535281973589557e+37,3.4200321347787345e+42
alignment_break,2024-12-22 07:17:00,96596.65,3.535281973589557e+37,6.834996089320131e+42
entry,2024-12-22 09:34:00,96776.6,7.062653667642933e+37,6.834996089320131e+42
alignment_break,2024-12-22 09:55:00,96991.82,7.062653667642933e+37,1.3685192421863764e+43
entry,2024-12-22 10:18:00,97098.71,1.4094103229449457e+38,1.3685192421863764e+43
alignment_break,2024-12-22 10:47:00,97102.86,1.4094103229449457e+38,2.737096974901155e+43
entry,2024-12-22 11:31:00,97216.01,2.815479646717814e+38,2.737096974901155e+43
alignment_break,2024-12-22 11:38:00,97223.45,2.815479646717814e+38,5.474403421488026e+43
entry,2024-12-22 11:39:00,97319.99,5.625158224418257e+38,5.474403421488026e+43
alignment_break,2024-12-22 11:42:00,97245.3,5.625158224418257e+38,1.0944605412298232e+44
entry,2024-12-22 18:09:00,95796.01,1.1424907375889907e+39,1.0944605412298232e+44
alignment_break,2024-12-22 18:13:00,95460.03,1.1424907375889907e+39,2.185082542079495e+44
entry,2024-12-22 18:32:00,96316.35,2.2686517315902178e+39,2.185082542079495e+44
alignment_break,2024-12-22 18:44:00,96124.49,2.2686517315902178e+39,4.36581244894676e+44
entry,2024-12-23 03:28:00,95562.01,4.5685649024615124e+39,4.36581244894676e+44
alignment_break,2024-12-23 03:32:00,95411.99,4.5685649024615124e+39,8.724771136826848e+44
entry,2024-12-23 03:51:00,95864.38,9.10116055288403e+39,8.724771136826848e+44
alignment_break,2024-12-23 04:23:00,96212.52,9.10116055288403e+39,1.7481227054002508e+45
entry,2024-12-23 09:07:00,96102.88,1.8190117771707265e+40,1.7481227054002508e+45
alignment_break,2024-12-23 09:21:00,95979.92,1.8190117771707265e+40,3.4940087539192924e+45
entry,2024-12-23 09:45:00,95919.6,3.642643165650495e+40,3.4940087539192924e+45
alignment_break,2024-12-23 09:59:00,96013.72,3.642643165650495e+40,6.991445963586095e+45
entry,2024-12-23 10:00:00,96076.58,7.276951327353757e+40,6.991445963586095e+45
alignment_break,2024-12-23 10:08:00,96061.02,7.276951327353757e+40,1.3981759633545655e+46
entry,2024-12-23 10:10:00,96149.99,1.4541613195743083e+41,1.3981759633545655e+46
alignment_break,2024-12-23 10:31:00,96000.05,1.4541613195743083e+41,2.7941715572265616e+46
entry,2024-12-23 11:02:00,96500.03,2.8955136669144678e+41,2.7941715572265616e+46
alignment_break,2024-12-23 11:09:00,96194.52,2.8955136669144678e+41,5.579497030649333e+46
entry,2024-12-23 21:27:00,94250.0,5.919890748699557e+41,5.579497030649333e+46
alignment_break,2024-12-23 21:34:00,94016.0,5.919890748699557e+41,1.1145141516946708e+47
entry,2024-12-23 22:22:00,94735.84,1.1764440487303124e+42,1.1145141516946708e+47
alignment_break,2024-12-23 22:38:00,94787.87,1.1764440487303124e+42,2.229640407227896e+47
entry,2024-12-23 22:58:00,95104.24,2.3444174594401845e+42,2.229640407227896e+47
alignment_break,2024-12-23 23:19:00,95385.42,2.3444174594401845e+42,4.465872847468245e+47
entry,2024-12-23 23:20:00,95450.0,4.678756257169456e+42,4.465872847468245e+47
alignment_break,2024-12-23 23:28:00,95124.99,4.678756257169456e+42,8.916539269225064e+47
entry,2024-12-24 05:12:00,94446.84,9.440802116010513e+42,8.916539269225064e+47
alignment_break,2024-12-24 05:37:00,94450.28,9.440802116010513e+42,1.7833403302042917e+48
entry,2024-12-24 05:59:00,94606.06,1.8850170170962534e+43,1.7833403302042917e+48
alignment_break,2024-12-24 06:07:00,94545.45,1.8850170170962534e+43,3.565538151594522e+48
entry,2024-12-24 12:03:00,94362.73,3.778544931451773e+43,3.565538151594522e+48
alignment_break,2024-12-24 12:07:00,94329.28,3.778544931451773e+43,7.129812379909472e+48
entry,2024-12-24 13:20:00,94595.26,7.537177211532028e+43,7.129812379909472e+48
half_take_profit,2024-12-24 13:50:00,95542.99,3.768588605766014e+43,1.0730434614657635e+49
alignment_break,2024-12-26 09:33:00,95457.99,3.768588605766014e+43,1.4327853549090896e+49
entry,2024-12-26 16:00:00,96123.0,1.4905749455479851e+44,1.4327853549090896e+49
alignment_break,2024-12-26 16:08:00,96150.0,1.4905749455479851e+44,2.8659731650534774e+49
entry,2024-12-26 16:09:00,96174.69,2.979966106522909e+44,2.8659731650534774e+49
alignment_break,2024-12-26 16:25:00,95970.02,2.979966106522909e+44,5.725847233476735e+49
entry,2024-12-26 16:57:00,96557.34,5.929996863497622e+44,5.725847233476735e+49
alignment_break,2024-12-26 17:05:00,96339.86,5.929996863497622e+44,1.1438797909774737e+50
entry,2024-12-26 22:20:00,95925.39,1.192468220329856e+45,1.1438797909774737e+50
alignment_break,2024-12-26 22:29:00,95766.15,1.192468220329856e+45,2.285860695560894e+50
entry,2024-12-27 00:06:00,95898.53,2.383624332469845e+45,2.285860695560894e+50
alignment_break,2024-12-27 00:14:00,95741.95,2.383624332469845e+45,4.5679891121420066e+50
entry,2024-12-27 01:41:00,96164.52,4.750181368494333e+45,4.5679891121420066e+50
alignment_break,2024-12-27 01:52:00,95891.95,4.750181368494333e+45,9.123030654927907e+50
entry,2024-12-27 02:12:00,96220.0,9.481428658208176e+45,9.123030654927907e+50
